participant_id,condition,stimulus,pressed_key,correct_key,reaction_time_in_s,timestamp_start,timestamp_end
2,2,yellow-blue,F,F,0.6437089443206787,1619711125.560815,1619711137.86112
2,2,blue-blue,F,F,0.4521298408508301,1619711125.560815,1619711137.86112
2,2,blue-blue,F,F,0.456404447555542,1619711125.560815,1619711137.86112
2,2,yellow-yellow,J,J,0.4687044620513916,1619711125.560815,1619711137.86112
2,2,yellow-yellow,J,J,0.4321579933166504,1619711125.560815,1619711137.86112
2,2,blue-blue,F,F,0.5816822052001953,1619711125.560815,1619711137.86112
2,2,blue-blue,F,F,0.6444430351257324,1619711125.560815,1619711137.86112
2,2,blue-blue,F,F,0.5005407333374023,1619711125.560815,1619711137.86112
2,2,blue-yellow,J,J,0.5017797946929932,1619711125.560815,1619711137.86112
2,2,yellow-yellow,J,J,0.5030355453491211,1619711125.560815,1619711137.86112
3,1,yellow,J,J,0.4612300395965576,1619711146.950051,1619711159.923534
3,1,yellow,J,J,0.40787672996520996,1619711146.950051,1619711159.923534
3,1,yellow,J,J,0.4252357482910156,1619711146.950051,1619711159.923534
3,1,yellow,J,J,0.5090711116790771,1619711146.950051,1619711159.923534
3,1,blue,F,F,0.39987754821777344,1619711146.950051,1619711159.923534
3,1,yellow,J,J,0.5447025299072266,1619711146.950051,1619711159.923534
3,1,yellow,J,J,0.5047686100006104,1619711146.950051,1619711159.923534
3,1,yellow,J,J,0.5733890533447266,1619711146.950051,1619711159.923534
3,1,yellow,J,J,0.5939426422119141,1619711146.950051,1619711159.923534
3,1,yellow,J,J,0.5105495452880859,1619711146.950051,1619711159.923534
3,2,yellow-blue,F,F,0.6566963195800781,1619711146.950051,1619711159.923534
3,2,yellow-yellow,J,J,0.5485537052154541,1619711146.950051,1619711159.923534
3,2,blue-blue,F,F,0.5874738693237305,1619711146.950051,1619711159.923534
3,2,yellow-blue,F,F,0.6092607975006104,1619711146.950051,1619711159.923534
3,2,blue-blue,F,F,0.46965837478637695,1619711146.950051,1619711159.923534
3,2,yellow-yellow,J,J,0.56886887550354,1619711146.950051,1619711159.923534
3,2,yellow-blue,F,F,0.5351686477661133,1619711146.950051,1619711159.923534
3,2,yellow-blue,F,F,0.6454260349273682,1619711146.950051,1619711159.923534
3,2,blue-yellow,J,J,0.5061182975769043,1619711146.950051,1619711159.923534
3,2,blue-blue,F,F,0.7016634941101074,1619711146.950051,1619711159.923534
4,1,blue,J,F,1.2578186988830566,1619725082.214368,1619725155.825406
4,1,blue,F,F,2.80745792388916,1619725082.214368,1619725155.825406
4,1,blue,F,F,3.8977906703948975,1619725082.214368,1619725155.825406
4,1,blue,F,F,5.1248369216918945,1619725082.214368,1619725155.825406
4,1,blue,F,F,3.748373031616211,1619725082.214368,1619725155.825406
4,1,yellow,J,J,1.1116528511047363,1619725082.214368,1619725155.825406
4,1,blue,F,F,0.5441322326660156,1619725082.214368,1619725155.825406
4,1,yellow,J,J,0.3737826347351074,1619725082.214368,1619725155.825406
4,1,yellow,F,J,0.290264368057251,1619725082.214368,1619725155.825406
4,1,yellow,J,J,0.6404807567596436,1619725082.214368,1619725155.825406
4,2,blue-blue,F,F,1.7980246543884277,1619725082.214368,1619725155.825406
4,2,yellow-yellow,J,J,0.8429901599884033,1619725082.214368,1619725155.825406
4,2,blue-yellow,F,J,0.7225031852722168,1619725082.214368,1619725155.825406
4,2,yellow-blue,J,F,3.5365467071533203,1619725082.214368,1619725155.825406
4,2,blue-yellow,F,J,0.5655820369720459,1619725082.214368,1619725155.825406
4,2,yellow-yellow,J,J,1.374621868133545,1619725082.214368,1619725155.825406
4,2,blue-yellow,F,J,0.720059871673584,1619725082.214368,1619725155.825406
4,2,yellow-blue,F,F,1.5857481956481934,1619725082.214368,1619725155.825406
4,2,blue-blue,F,F,0.9260804653167725,1619725082.214368,1619725155.825406
4,2,yellow-blue,F,F,0.6861457824707031,1619725082.214368,1619725155.825406
5,1,yellow,J,J,1.115814447402954,1619725856.311093,1619726041.253542
5,1,blue,F,F,0.5846233367919922,1619725856.311093,1619726041.253542
5,1,blue,F,F,0.6870145797729492,1619725856.311093,1619726041.253542
5,1,blue,F,F,1.4969863891601562,1619725856.311093,1619726041.253542
5,1,blue,F,F,0.8054330348968506,1619725856.311093,1619726041.253542
5,1,blue,F,F,1.2981605529785156,1619725856.311093,1619726041.253542
5,1,blue,F,F,1.062145709991455,1619725856.311093,1619726041.253542
5,1,blue,F,F,1.4429736137390137,1619725856.311093,1619726041.253542
5,1,yellow,J,J,0.9028918743133545,1619725856.311093,1619726041.253542
5,1,blue,F,F,0.7413744926452637,1619725856.311093,1619726041.253542
5,2,blue-yellow,J,J,0.8884236812591553,1619725856.311093,1619726041.253542
5,2,blue-yellow,J,J,1.8864173889160156,1619725856.311093,1619726041.253542
5,2,blue-blue,F,F,0.8007338047027588,1619725856.311093,1619726041.253542
